Input Size,Nondet Qubits,Total Qubits,(State Drop Time       ,Normal DB Time        ,Error between the two)
1         ,0            ,1           ,(0.00010521100000016048,7.991599999979115e-05 ,0.0)                  ,(0.00010712799999978984,8.572700000009092e-05 ,0.0)                ,(0.00010574299999976944,8.195799999999309e-05 ,0.0)                ,(0.00010184799999990446,8.07499999995187e-05  ,0.0)                ,(0.00010140100000022301,7.889300000041288e-05 ,0.0)                ,(0.00014019800000042437,7.992499999964764e-05 ,0.0)                ,(0.00010070599999956187,7.898099999970043e-05 ,0.0)                ,(0.00010084899999984742,9.053399999991996e-05 ,0.0)                ,(0.00010098500000044197,7.91270000002342e-05  ,0.0)                ,(9.928699999939283e-05 ,7.961800000000352e-05 ,0.0)
1         ,1            ,1           ,(0.00026862899999979817,0.00016024299999983782,0.0)                  ,(0.00021799300000058253,0.00015706699999995521,0.0)                ,(0.0002156520000005102 ,0.00015714300000002623,0.0)                ,(0.0002946550000002546 ,0.00021649000000056873,0.0)                ,(0.0002915549999995548 ,0.0002250799999998776 ,0.0)                ,(0.00028866400000016057,0.00021763700000043684,0.0)                ,(0.00025052700000038897,0.00015754699999970256,0.0)                ,(0.00022773799999953326,0.00015584600000018156,0.0)                ,(0.0002512220000001619 ,0.00015515399999976864,0.0)                ,(0.00021266600000036107,0.00015636199999935485,0.0)
2         ,0            ,2           ,(0.00012050299999977199,9.721999999978692e-05 ,0.0)                  ,(0.00012878799999960222,0.00010132599999934655,0.0)                ,(0.00012207199999991758,0.00010085700000050934,0.0)                ,(0.00016643799999993547,0.00011463700000025057,0.0)                ,(0.00016022899999956763,0.00010161500000016588,0.0)                ,(0.00016608900000036897,0.00010113100000008757,0.0)                ,(0.00016466100000034345,0.00014020700000028086,0.0)                ,(0.00016771399999981895,0.00018842400000007586,0.0)                ,(0.00012843799999995298,0.00010330899999999588,0.0)                ,(0.00012888599999971717,0.00010303500000041765,0.0)
2         ,1            ,2           ,(0.0002744579999998109 ,0.00018535499999927652,0.0)                  ,(0.00025002099999937855,0.000186272999999737  ,0.0)                ,(0.00024050599999991817,0.00018311199999931915,0.0)                ,(0.00024175099999990124,0.00018516600000051398,0.0)                ,(0.00023993499999974688,0.0001838919999999078 ,0.0)                ,(0.0002517800000001458 ,0.000188956000000573  ,0.0)                ,(0.00024892900000050844,0.00018861299999972658,0.0)                ,(0.00024715700000044194,0.0001888570000003753 ,0.0)                ,(0.00024555499999934227,0.00018861899999933485,0.0)                ,(0.0002451130000000745 ,0.00018799500000010738,0.0)
2         ,2            ,2           ,(0.00034271799999974206,0.00026127200000036765,0.0)                  ,(0.0003464519999996085 ,0.00025970699999966484,0.0)                ,(0.00033199900000013827,0.00025992900000026964,0.0)                ,(0.0003283380000000946 ,0.0002589110000004169 ,0.0)                ,(0.0003314570000005901 ,0.00025982499999965825,0.0)                ,(0.00033247100000011187,0.0002587029999991941 ,0.0)                ,(0.00033354199999990897,0.00025905599999997975,0.0)                ,(0.0003321290000002364 ,0.00025747699999989493,0.0)                ,(0.00033134300000003947,0.0002600250000002191 ,0.0)                ,(0.00033128100000023863,0.00025905999999942253,0.0)
3         ,0            ,3           ,(0.00013351499999991745,0.00010983100000050428,0.0)                  ,(0.0001757299999995965 ,0.0001525270000000134 ,0.0)                ,(0.00017796199999953188,0.00015514900000024312,0.0)                ,(0.0001606820000006337 ,0.00011129600000003848,0.0)                ,(0.0001368810000004217 ,0.00010753599999979713,0.0)                ,(0.00013927499999955018,0.00012216300000034153,0.0)                ,(0.00013019799999991477,0.00010562499999977604,0.0)                ,(0.00012797700000000134,0.00010673900000046643,0.0)                ,(0.00012763699999940314,0.00010472900000024765,0.0)                ,(0.0001353120000002761 ,0.00010562400000058147,0.0)
3         ,1            ,3           ,(0.00026473799999937597,0.00019949200000013434,0.0)                  ,(0.0002586589999999944 ,0.00019650900000023341,0.0)                ,(0.0002595059999999094 ,0.0001980399999998994 ,0.0)                ,(0.00025843600000019507,0.000198185999999545  ,0.0)                ,(0.00025568900000028094,0.00019791600000029774,0.0)                ,(0.00025408199999965575,0.00019740800000001002,0.0)                ,(0.0002594140000002909 ,0.00019673400000019825,0.0)                ,(0.00025644599999985473,0.0001969779999999588 ,0.0)                ,(0.00025620599999953697,0.00019767499999989724,0.0)                ,(0.0002541959999993182 ,0.0001978910000000056 ,0.0)
3         ,2            ,3           ,(0.0003433159999994828 ,0.00027453700000013015,0.0)                  ,(0.00035000200000023796,0.00027518599999964977,0.0)                ,(0.00034516499999970307,0.00027441699999997127,0.0)                ,(0.0003474660000000185 ,0.00027316899999974   ,0.0)                ,(0.0003475110000001891 ,0.0002736020000000394 ,0.0)                ,(0.0003597729999995636 ,0.00027341099999933505,0.0)                ,(0.0004265510000003303 ,0.00038882800000017426,0.0)                ,(0.00048257899999981646,0.0004052540000003546 ,0.0)                ,(0.0003877030000003501 ,0.0002745570000000086 ,0.0)                ,(0.0003628669999997669 ,0.00030196899999967997,0.0)
3         ,3            ,3           ,(0.00044448399999996724,0.00035323599999959043,0.0)                  ,(0.0004378290000000007 ,0.00035107800000044875,0.0)                ,(0.00043393899999966123,0.00035294400000029924,0.0)                ,(0.00043439500000008735,0.0003495259999999334 ,0.0)                ,(0.00043168900000001287,0.0003601440000000622 ,0.0)                ,(0.0004359510000000455 ,0.0003640129999995523 ,0.0)                ,(0.0004301780000002253 ,0.0003475040000004981 ,0.0)                ,(0.00043212499999967235,0.00035231000000024437,0.0)                ,(0.00043251700000013216,0.0003500790000003917 ,0.0)                ,(0.0004395959999996535 ,0.0003530070000001828 ,0.0)
4         ,0            ,4           ,(0.00013591699999970785,0.0001114900000001029 ,0.0)                  ,(0.0001344720000000521 ,0.00010896899999934817,0.0)                ,(0.00013117900000025884,0.00010777399999994941,0.0)                ,(0.00013422700000020882,0.00010856499999967184,0.0)                ,(0.00013241299999933176,0.00010888700000055707,0.0)                ,(0.00013147700000004647,0.00011699899999939589,0.0)                ,(0.00013183399999938672,0.00010880199999974138,0.0)                ,(0.00014492200000049138,0.00011044900000012348,0.0)                ,(0.00017766199999957877,0.00015301899999986546,0.0)                ,(0.00017971699999996815,0.00015908300000067044,0.0)
