Algorithm Name ,Total Qubits,Nondet Qubits,Times ->
DBSimulator    ,8           ,2            ,0.0011620240000000948,0.0011559329999997203,0.001033705000000218 ,0.0009961869999997042,0.0009880380000000244,0.0009958210000000633,0.000978501000000076 ,0.0008174790000001764,0.000726250999999678 ,0.0007234779999998331
DBSimulator    ,11          ,4            ,0.001896885999999931 ,0.0019289250000000813,0.0018699980000000949,0.0018806780000000245,0.0019060969999999955,0.002240597000000122 ,0.00214561400000024  ,0.001867315000000147 ,0.0018748969999999865,0.0018749499999999308
DBSimulator    ,14          ,6            ,0.007178748999999929 ,0.007223517999999984 ,0.006896919999999973 ,0.00810013300000012  ,0.007119770000000081 ,0.006949375000000035 ,0.007036768000000304 ,0.006916796000000058 ,0.007996732000000062 ,0.007619567000000327
DBSimulator    ,17          ,8            ,0.04277919799999985  ,0.044681350999999925 ,0.04263674499999981  ,0.04145784100000016  ,0.04389054899999989  ,0.044054075000000026 ,0.04363482200000002  ,0.04161965500000031  ,0.04030133300000038  ,0.04177331700000053
DBSimulator    ,20          ,10           ,0.18043121000002316  ,0.2212829700000043   ,0.24899709500002132  ,0.24798636099998816  ,0.25234169499998416  ,0.25039526100002263  ,0.24800184899999067  ,0.2585586669999884   ,0.25537720100001593  ,0.2520824690000154
DBSimulator    ,23          ,12           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
DBSimulator    ,26          ,14           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
DBSimulator    ,29          ,16           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
DBSimulator    ,32          ,18           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
DBSimulator    ,35          ,20           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
QiskitSimulator,8           ,2            ,0.004388912000000023 ,0.0036245550000000293,0.003568186999999945 ,0.0034471790000001334,0.0036269500000001287,0.003448765999999992 ,0.004513076000000282 ,0.003417581000000336 ,0.0033153740000000376,0.0035575709999999816
QiskitSimulator,11          ,4            ,0.008605758000000296 ,0.007891680000000179 ,0.008687231000000128 ,0.008654310000000276 ,0.008085723000000211 ,0.008466411000000118 ,0.009143901999999926 ,0.007890925999999965 ,0.007823544999999932 ,0.008275826999999847
QiskitSimulator,14          ,6            ,0.019223734000000103 ,0.02191919199999992  ,0.04903133099999968  ,0.019496030999999636 ,0.019993214999999953 ,0.020054422999999932 ,0.020025366000000044 ,0.019869566999999755 ,0.01995009000000003  ,0.020110768000000334
QiskitSimulator,17          ,8            ,14.161075909000001   ,12.41254318          ,16.400383122999997   ,13.655465029000005   ,13.970756235000003   ,12.703120136999999   ,13.322741346         ,12.426327645         ,14.342506076999996   ,16.418316051000005
QiskitSimulator,20          ,10           ,19.782804682999995   ,18.146399000000002   ,21.365189879000013   ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
QiskitSimulator,23          ,12           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
QiskitSimulator,26          ,14           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
QiskitSimulator,29          ,16           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
QiskitSimulator,32          ,18           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
QiskitSimulator,35          ,20           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
MixedSimulator ,8           ,2            ,0.0008238320000000243,0.0008950119999999728,0.0010821450000002564,0.0008047069999999046,0.0010001899999996233,0.0007566510000001081,0.0007338299999997133,0.0007336840000000677,0.0007414109999999141,0.0007413949999999225
MixedSimulator ,11          ,4            ,0.0020238749999998973,0.0019563799999997578,0.0018710539999999831,0.0025424979999999486,0.001975818000000018 ,0.0018845579999999806,0.0019000160000000044,0.0019216310000000902,0.0021948759999999012,0.0023736989999996183
MixedSimulator ,14          ,6            ,0.008182050999999912 ,0.007495679000000255 ,0.007499256999999648 ,0.007610130999999853 ,0.007552218000000277 ,0.0075376949999999   ,0.007766855999999933 ,0.007406077999999816 ,0.007748510999999958 ,0.007547265999999997
MixedSimulator ,17          ,8            ,0.11155327899999179  ,0.03201498900000388  ,0.03057218099999659  ,0.030938947000009875 ,0.031868989999992436 ,0.030583471999989342 ,0.032124973999998474 ,0.03113272300001313  ,0.030924623000004203 ,0.03175348300001701
MixedSimulator ,20          ,10           ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0                 ,-1.0
